#{"t_start": 1646622810.51222, "env_id": null}
r,l,t
5.0,13,25984.60289
12.0,7,26004.021552
6.0,13,26032.919085
0.0,15,26064.160864
2.0,15,26089.033387
1.5,15,26124.208297
0.0,15,26156.123475
-1.5,15,26190.911171
12.0,7,26207.787326
12.0,6,26226.862101
-1.0,15,26245.341626
5.0,14,26270.373284
1.5,15,26307.743572
-5.5,15,26324.166517
7.0,12,26347.314624
6.0,13,26372.796688
0.0,15,26404.243492
-3.0,15,26437.209362
10.0,9,26461.815399
-11.0,15,26492.850049
-12.5,15,26530.66757
8.0,11,26552.848213
0.0,15,26596.362898
10.0,9,26621.901793
1.5,15,26638.211121
-1.0,15,26679.49114
4.0,15,26721.522208
1.5,15,26753.194016
-8.5,15,26763.503217
6.0,13,26798.351656
-4.5,15,26814.78552
8.0,10,26837.910334
1.5,15,26853.67863
14.0,5,26869.691019
-1.5,15,26901.765026
2.0,15,26930.643686
10.0,8,26943.619838
13.0,5,26959.570449
8.0,11,26978.484239
-1.5,15,26991.681351
0.0,15,27017.370579
9.0,9,27037.057097
7.0,12,27062.821859
11.0,8,27088.271719
-1.5,15,27107.38785
4.0,15,27148.151715
12.0,7,27164.442089
0.5,15,27198.905674
-1.5,15,27220.870239
15.0,4,27236.489532
1.5,15,27250.019006
11.0,7,27265.620618
0.0,15,27282.301382
-7.0,15,27317.553985
14.0,5,27333.805771
11.0,8,27352.976087
-3.0,15,27375.674276
7.0,12,27395.185038
0.0,15,27414.05638
-1.5,15,27437.961165
12.0,6,27455.084785
-1.5,15,27470.749351
5.0,14,27505.67024
8.0,11,27537.232456
15.0,2,27547.258086
7.0,12,27566.4221
10.0,9,27595.077389
9.0,10,27621.169541
4.0,13,27652.414243
-3.0,15,27680.081861
13.0,6,27696.925859
0.0,15,27744.587549
13.0,5,27760.548367
15.0,2,27770.733749
-3.0,15,27790.254789
-5.5,15,27823.824802
-9.5,15,27855.993786
4.0,14,27887.37609
-6.0,15,27903.529423
0.0,15,27919.459583
1.5,15,27957.367367
0.0,15,27983.650452
-4.0,15,28005.944628
13.0,5,28018.828146
0.5,15,28050.135305
12.0,5,28070.316401
4.0,15,28095.715658
-5.0,15,28136.129584
8.0,11,28154.707827
10.0,9,28174.148466
12.0,7,28190.697009
-1.5,15,28213.528187
12.0,7,28230.518915
-15,15,28262.723549
-1.0,15,28293.166734
4.0,15,28333.450098
-4.0,15,28377.472002
-6.5,15,28424.872945
8.0,11,28447.071948
8.0,10,28469.422639
10.0,8,28484.932159
-3.0,15,28500.964069
12.0,7,28524.379638
-1.5,15,28548.87562
1.5,15,28581.271822
-2.0,15,28597.536263
-3.5,15,28631.762232
1.5,15,28654.437978
0.0,15,28676.116747
0.0,15,28703.984774
4.0,15,28720.913372
-7.0,15,28746.859175
-1.5,15,28763.680444
2.5,15,28786.296646
7.0,10,28808.840625
4.0,14,28837.649677
9.0,9,28853.979879
6.0,13,28891.836034
0.5,15,28920.743381
-3.0,15,28948.926144
0.5,15,28968.544691
6.0,13,29009.435363
0.0,15,29060.197209
14.0,4,29072.790558
-1.0,15,29110.867867
13.0,6,29132.762284
-1.0,15,29157.573915
-2.5,15,29193.080591
0.0,15,29218.185254
0.0,15,29242.985554
9.0,9,29256.016199
-3.0,15,29280.714281
-2.5,15,29310.151564
1.5,15,29330.222515
9.0,9,29346.351819
11.0,8,29365.482803
8.0,10,29381.028698
0.0,15,29403.342547
6.0,13,29441.203978
1.5,15,29479.517765
9.0,10,29502.169854
14.0,4,29518.136283
8.0,11,29543.35797
-1.5,15,29559.518376
11.0,8,29575.955338
